trade_id,symbol,side,qty,price,notional,account,exec_time,settle_date,exec_broker,customer_type
T20250901-000021,NVDA,SELL,300,66.55,19965.0,FND1053,2025-09-01T19:55:49,2025-09-03,BAML,INTRODUCING
T20250901-000022,AMZN,BUY,1500,217.64,326460.0,FND1030,2025-09-01T19:25:40,2025-09-03,MSCO,SELF_CLEAR
T20250901-000023,TSLA,SELL,1000,454.81,454810.0,FND1038,2025-09-01T17:43:51,2025-09-03,MSCO,SELF_CLEAR
T20250901-000024,META,SELL,2000,434.03,868060.0,FND1059,2025-09-01T19:14:44,2025-09-03,CDEL,SELF_CLEAR
T20250901-000025,AMZN,SELL,1000,169.36,169360.0,FND1048,2025-09-01T18:49:57,2025-09-03,MSCO,INTRODUCING
T20250901-000026,NVDA,BUY,300,13.23,3969.0,FND1031,2025-09-01T20:39:21,2025-09-03,GSCO,INTRODUCING
T20250901-000027,NVDA,BUY,300,178.35,53505.0,FND1020,2025-09-01T20:20:39,2025-09-03,NITE,INTRODUCING
T20250901-000028,META,BUY,500,61.78,30890.0,FND1056,2025-09-01T18:11:08,2025-09-03,UBSW,INTRODUCING
T20250901-000029,BAC,SELL,2000,364.24,728480.0,FND1005,2025-09-01T19:40:23,2025-09-03,NITE,SELF_CLEAR
T20250901-000030,AAPL,BUY,300,340.59,102177.0,FND1027,2025-09-01T18:22:32,2025-09-03,NITE,INTRODUCING
T20250901-000031,GOOGL,SELL,200,104.24,20848.0,FND1047,2025-09-01T17:14:03,2025-09-03,MSCO,SELF_CLEAR
T20250901-000032,TSLA,BUY,500,330.96,165480.0,FND1032,2025-09-01T17:38:40,2025-09-03,CDEL,INTRODUCING
T20250901-000033,BRK.B,BUY,200,125.16,25032.0,FND1025,2025-09-01T20:00:05,2025-09-03,BAML,INTRODUCING
T20250901-000034,UNH,BUY,300,484.25,145275.0,FND1054,2025-09-01T20:14:17,2025-09-03,GSCO,INTRODUCING
T20250901-000035,GOOGL,SELL,100,137.58,13758.0,FND1010,2025-09-01T19:53:39,2025-09-03,GSCO,SELF_CLEAR
T20250901-000036,MSFT,SELL,2000,307.15,614300.0,FND1019,2025-09-01T18:13:24,2025-09-03,CDEL,INTRODUCING
T20250901-000037,BRK.B,BUY,1500,273.25,409875.0,FND1058,2025-09-01T20:40:03,2025-09-03,GSCO,INTRODUCING
T20250901-000038,JPM,BUY,2000,250.99,501980.0,FND1023,2025-09-01T18:56:20,2025-09-03,JPMC,INTRODUCING
T20250901-000039,AAPL,BUY,300,260.4,78120.0,FND1024,2025-09-01T20:29:09,2025-09-03,CDEL,SELF_CLEAR
T20250901-000040,UNH,SELL,200,328.79,65758.0,FND1028,2025-09-01T20:46:05,2025-09-03,UBSW,INTRODUCING
T20250901-000041,MSFT,BUY,200,241.4,48280.0,FND1041,2025-09-01T19:42:29,2025-09-03,CDEL,INTRODUCING
T20250901-000042,MSFT,SELL,100,315.74,31574.0,FND1020,2025-09-01T18:41:00,2025-09-03,JPMC,INTRODUCING
T20250901-000043,JPM,BUY,1000,324.11,324110.0,FND1059,2025-09-01T20:27:02,2025-09-03,UBSW,SELF_CLEAR
T20250901-000044,BRK.B,SELL,1500,28.71,43065.0,FND1059,2025-09-01T18:32:05,2025-09-03,MSCO,INTRODUCING
T20250901-000045,MSFT,BUY,2000,389.65,779300.0,FND1031,2025-09-01T18:47:22,2025-09-03,BAML,INTRODUCING
T20250901-000046,BAC,SELL,1000,74.08,74080.0,FND1055,2025-09-01T19:33:55,2025-09-03,MSCO,INTRODUCING
T20250901-000047,AMZN,BUY,2000,110.58,221160.0,FND1013,2025-09-01T19:06:21,2025-09-03,JPMC,INTRODUCING
T20250901-000048,MSFT,BUY,100,139.13,13913.0,FND1055,2025-09-01T17:56:25,2025-09-03,UBSW,INTRODUCING
T20250901-000049,BAC,BUY,100,324.49,32449.0,FND1020,2025-09-01T17:59:11,2025-09-03,JPMC,SELF_CLEAR
T20250901-000050,XOM,SELL,1000,125.77,125770.0,FND1028,2025-09-01T17:02:20,2025-09-03,GSCO,SELF_CLEAR
T20250901-000051,JPM,BUY,100,94.37,9437.0,FND1044,2025-09-01T19:16:42,2025-09-03,JPMC,SELF_CLEAR
T20250901-000052,AAPL,SELL,300,82.57,24771.0,FND1027,2025-09-01T17:59:25,2025-09-03,JPMC,INTRODUCING
T20250901-000053,MSFT,BUY,500,130.04,65020.0,FND1033,2025-09-01T17:53:11,2025-09-03,JPMC,INTRODUCING
T20250901-000054,TSLA,BUY,500,400.28,200140.0,FND1010,2025-09-01T18:47:35,2025-09-03,MSCO,SELF_CLEAR
T20250901-000055,META,SELL,200,111.35,22270.0,FND1054,2025-09-01T17:01:12,2025-09-03,CDEL,SELF_CLEAR
T20250901-000056,AAPL,SELL,500,213.5,106750.0,FND1029,2025-09-01T18:29:52,2025-09-03,UBSW,SELF_CLEAR
T20250901-000057,XOM,SELL,1500,27.08,40620.0,FND1011,2025-09-01T17:32:27,2025-09-03,UBSW,SELF_CLEAR
T20250901-000058,META,SELL,500,124.25,62125.0,FND1052,2025-09-01T19:43:07,2025-09-03,NITE,INTRODUCING
T20250901-000059,XOM,SELL,300,235.79,70737.0,FND1003,2025-09-01T17:57:59,2025-09-03,UBSW,INTRODUCING
T20250901-000060,UNH,SELL,2000,58.94,117880.0,FND1007,2025-09-01T18:50:35,2025-09-03,GSCO,INTRODUCING
T20250901-000061,JPM,SELL,200,414.48,82896.0,FND1030,2025-09-01T20:03:10,2025-09-03,MSCO,INTRODUCING
T20250901-000062,MSFT,SELL,1000,130.45,130450.0,FND1018,2025-09-01T18:42:37,2025-09-03,JPMC,INTRODUCING
T20250901-000063,MSFT,SELL,300,452.16,135648.0,FND1043,2025-09-01T20:56:15,2025-09-03,UBSW,SELF_CLEAR
T20250901-000064,META,BUY,200,322.36,64472.0,FND1018,2025-09-01T20:27:09,2025-09-03,UBSW,INTRODUCING
T20250901-000065,META,SELL,1500,120.34,180510.0,FND1031,2025-09-01T20:40:00,2025-09-03,BAML,SELF_CLEAR
T20250901-000066,META,BUY,2000,489.31,978620.0,FND1041,2025-09-01T17:13:32,2025-09-03,JPMC,INTRODUCING
T20250901-000067,AAPL,BUY,300,481.76,144528.0,FND1000,2025-09-01T17:59:11,2025-09-03,NITE,SELF_CLEAR
T20250901-000068,BRK.B,SELL,100,458.51,45851.0,FND1005,2025-09-01T18:20:59,2025-09-03,CDEL,INTRODUCING
T20250901-000069,UNH,BUY,1000,14.17,14170.0,FND1016,2025-09-01T17:42:01,2025-09-03,NITE,INTRODUCING
T20250901-000070,BAC,SELL,1000,295.75,295750.0,FND1019,2025-09-01T20:44:12,2025-09-03,NITE,SELF_CLEAR
T20250901-000071,BRK.B,SELL,100,441.15,44115.0,FND1012,2025-09-01T20:06:58,2025-09-03,MSCO,INTRODUCING
T20250901-000072,JPM,BUY,100,474.9,47490.0,FND1028,2025-09-01T18:29:03,2025-09-03,NITE,SELF_CLEAR
T20250901-000073,UNH,BUY,1000,207.73,207730.0,FND1059,2025-09-01T17:33:47,2025-09-03,GSCO,SELF_CLEAR
T20250901-000074,AMZN,BUY,1500,442.77,664155.0,FND1012,2025-09-01T19:20:03,2025-09-03,NITE,SELF_CLEAR
T20250901-000075,BRK.B,BUY,200,134.46,26892.0,FND1034,2025-09-01T17:01:06,2025-09-03,MSCO,INTRODUCING
T20250901-000076,BRK.B,SELL,300,317.15,95145.0,FND1026,2025-09-01T16:59:27,2025-09-03,CDEL,SELF_CLEAR
T20250901-000077,AMZN,BUY,300,142.85,42855.0,FND1019,2025-09-01T20:16:36,2025-09-03,CDEL,INTRODUCING
T20250901-000078,AMZN,SELL,2000,18.42,36840.0,FND1049,2025-09-01T19:27:05,2025-09-03,UBSW,INTRODUCING
T20250901-000079,BAC,SELL,300,313.15,93945.0,FND1002,2025-09-01T18:20:32,2025-09-03,CDEL,INTRODUCING
T20250901-000080,META,SELL,100,129.21,12921.0,FND1043,2025-09-01T20:02:53,2025-09-03,GSCO,SELF_CLEAR
T20250901-000081,META,BUY,200,72.61,14522.0,FND1022,2025-09-01T19:54:47,2025-09-03,MSCO,INTRODUCING
T20250901-000082,XOM,BUY,2000,366.76,733520.0,FND1026,2025-09-01T17:24:26,2025-09-03,JPMC,SELF_CLEAR
T20250901-000083,UNH,SELL,500,26.59,13295.0,FND1026,2025-09-01T18:08:45,2025-09-03,GSCO,SELF_CLEAR
T20250901-000084,TSLA,BUY,1000,460.38,460380.0,FND1022,2025-09-01T19:47:46,2025-09-03,GSCO,INTRODUCING
T20250901-000085,GOOGL,BUY,1500,166.56,249840.0,FND1005,2025-09-01T20:15:08,2025-09-03,CDEL,SELF_CLEAR
T20250901-000086,XOM,BUY,100,168.92,16892.0,FND1001,2025-09-01T18:18:48,2025-09-03,CDEL,SELF_CLEAR
T20250901-000087,BRK.B,BUY,300,420.69,126207.0,FND1003,2025-09-01T18:56:10,2025-09-03,MSCO,SELF_CLEAR
T20250901-000088,TSLA,BUY,1000,37.36,37360.0,FND1051,2025-09-01T19:59:56,2025-09-03,JPMC,SELF_CLEAR
T20250901-000089,JPM,BUY,1000,354.45,354450.0,FND1008,2025-09-01T20:24:21,2025-09-03,BAML,INTRODUCING
T20250901-000090,UNH,BUY,1500,206.83,310245.0,FND1039,2025-09-01T18:03:59,2025-09-03,JPMC,INTRODUCING
T20250901-000091,GOOGL,BUY,2000,213.43,426860.0,FND1054,2025-09-01T20:22:59,2025-09-03,UBSW,SELF_CLEAR
T20250901-000092,AAPL,SELL,500,322.11,161055.0,FND1002,2025-09-01T18:15:32,2025-09-03,CDEL,INTRODUCING
T20250901-000093,BAC,BUY,1000,48.12,48120.0,FND1036,2025-09-01T18:44:55,2025-09-03,JPMC,INTRODUCING
T20250901-000094,TSLA,BUY,100,129.96,12996.0,FND1048,2025-09-01T20:47:18,2025-09-03,JPMC,SELF_CLEAR
T20250901-000095,BAC,SELL,200,478.81,95762.0,FND1003,2025-09-01T20:29:50,2025-09-03,CDEL,INTRODUCING
T20250901-000096,MSFT,SELL,300,163.55,49065.0,FND1055,2025-09-01T18:53:07,2025-09-03,CDEL,SELF_CLEAR
T20250901-000097,TSLA,SELL,1000,400.66,400660.0,FND1016,2025-09-01T17:47:50,2025-09-03,CDEL,SELF_CLEAR
T20250901-000098,META,BUY,200,168.4,33680.0,FND1005,2025-09-01T19:32:38,2025-09-03,NITE,SELF_CLEAR
T20250901-000099,TSLA,BUY,1500,494.68,742020.0,FND1049,2025-09-01T18:05:42,2025-09-03,UBSW,INTRODUCING
T20250901-000100,BAC,SELL,1500,206.88,310320.0,FND1049,2025-09-01T19:22:29,2025-09-03,BAML,INTRODUCING
T20250901-000101,NVDA,BUY,200,327.86,65572.0,FND1036,2025-09-01T17:36:45,2025-09-03,GSCO,INTRODUCING
T20250901-000102,NVDA,BUY,2000,146.2,292400.0,FND1027,2025-09-01T20:06:14,2025-09-03,UBSW,SELF_CLEAR
T20250901-000103,XOM,SELL,200,321.17,64234.0,FND1010,2025-09-01T18:04:19,2025-09-03,MSCO,SELF_CLEAR
T20250901-000104,BRK.B,BUY,2000,162.55,325100.0,FND1056,2025-09-01T18:32:53,2025-09-03,JPMC,SELF_CLEAR
T20250901-000105,BRK.B,BUY,200,291.21,58242.0,FND1018,2025-09-01T17:21:39,2025-09-03,MSCO,INTRODUCING
T20250901-000106,AMZN,BUY,300,417.18,125154.0,FND1024,2025-09-01T17:15:00,2025-09-03,JPMC,SELF_CLEAR
T20250901-000107,NVDA,BUY,1500,468.33,702495.0,FND1050,2025-09-01T20:09:43,2025-09-03,UBSW,INTRODUCING
T20250901-000108,NVDA,BUY,1000,217.97,217970.0,FND1040,2025-09-01T19:44:42,2025-09-03,JPMC,SELF_CLEAR
T20250901-000109,MSFT,BUY,500,190.34,95170.0,FND1031,2025-09-01T18:55:41,2025-09-03,NITE,SELF_CLEAR
T20250901-000110,META,SELL,2000,238.23,476460.0,FND1025,2025-09-01T19:51:19,2025-09-03,JPMC,INTRODUCING
T20250901-000111,BRK.B,SELL,300,220.6,66180.0,FND1020,2025-09-01T20:32:46,2025-09-03,UBSW,INTRODUCING
T20250901-000112,BAC,BUY,200,238.76,47752.0,FND1026,2025-09-01T19:06:48,2025-09-03,NITE,SELF_CLEAR
T20250901-000113,META,SELL,1500,303.53,455295.0,FND1037,2025-09-01T17:40:16,2025-09-03,UBSW,SELF_CLEAR
T20250901-000114,META,SELL,500,88.68,44340.0,FND1044,2025-09-01T18:40:45,2025-09-03,BAML,INTRODUCING
T20250901-000115,UNH,SELL,300,233.72,70116.0,FND1014,2025-09-01T19:17:32,2025-09-03,JPMC,SELF_CLEAR
T20250901-000116,AMZN,SELL,1000,123.67,123670.0,FND1033,2025-09-01T19:08:11,2025-09-03,CDEL,INTRODUCING
T20250901-000117,UNH,BUY,1500,200.02,300030.0,FND1051,2025-09-01T20:54:15,2025-09-03,NITE,SELF_CLEAR
T20250901-000118,META,SELL,1000,486.99,486990.0,FND1014,2025-09-01T18:13:53,2025-09-03,UBSW,INTRODUCING
T20250901-000119,UNH,BUY,500,288.12,144060.0,FND1046,2025-09-01T17:34:44,2025-09-03,JPMC,SELF_CLEAR
T20250901-000120,TSLA,BUY,1500,413.4,620100.0,FND1045,2025-09-01T19:10:51,2025-09-03,UBSW,INTRODUCING
T20250901-000121,BRK.B,SELL,100,148.76,14876.0,FND1004,2025-09-01T19:58:56,2025-09-03,GSCO,SELF_CLEAR
T20250901-000122,AAPL,SELL,2000,133.74,267480.0,FND1010,2025-09-01T19:45:30,2025-09-03,NITE,SELF_CLEAR
T20250901-000123,AMZN,BUY,100,93.89,9389.0,FND1028,2025-09-01T20:14:36,2025-09-03,BAML,INTRODUCING
T20250901-000124,AAPL,BUY,2000,32.04,64080.0,FND1043,2025-09-01T18:08:09,2025-09-03,NITE,SELF_CLEAR
T20250901-000125,XOM,SELL,200,316.47,63294.0,FND1030,2025-09-01T19:14:52,2025-09-03,UBSW,SELF_CLEAR
T20250901-000126,UNH,BUY,500,49.44,24720.0,FND1008,2025-09-01T20:22:51,2025-09-03,JPMC,SELF_CLEAR
T20250901-000127,NVDA,SELL,1500,373.22,559830.0,FND1057,2025-09-01T20:49:17,2025-09-03,CDEL,INTRODUCING
T20250901-000128,NVDA,SELL,1500,242.24,363360.0,FND1047,2025-09-01T20:29:59,2025-09-03,CDEL,SELF_CLEAR
T20250901-000129,JPM,BUY,1000,475.9,475900.0,FND1059,2025-09-01T20:20:19,2025-09-03,NITE,SELF_CLEAR
T20250901-000130,JPM,BUY,1000,50.9,50900.0,FND1029,2025-09-01T19:58:29,2025-09-03,UBSW,INTRODUCING
T20250901-000131,BRK.B,SELL,1500,279.4,419100.0,FND1058,2025-09-01T20:06:00,2025-09-03,UBSW,INTRODUCING
T20250901-000132,TSLA,SELL,1500,141.9,212850.0,FND1033,2025-09-01T20:10:42,2025-09-03,JPMC,INTRODUCING
T20250901-000133,TSLA,BUY,2000,412.06,824120.0,FND1010,2025-09-01T19:00:27,2025-09-03,BAML,INTRODUCING
T20250901-000134,META,SELL,100,259.2,25920.0,FND1059,2025-09-01T20:15:32,2025-09-03,JPMC,SELF_CLEAR
T20250901-000135,NVDA,SELL,300,431.78,129534.0,FND1058,2025-09-01T19:22:47,2025-09-03,UBSW,SELF_CLEAR
T20250901-000136,GOOGL,BUY,1000,323.19,323190.0,FND1001,2025-09-01T19:27:52,2025-09-03,JPMC,INTRODUCING
T20250901-000137,BAC,SELL,1500,96.98,145470.0,FND1000,2025-09-01T17:04:59,2025-09-03,JPMC,INTRODUCING
T20250901-000138,TSLA,SELL,2000,192.36,384720.0,FND1037,2025-09-01T20:28:51,2025-09-03,UBSW,INTRODUCING
T20250901-000139,GOOGL,SELL,2000,258.76,517520.0,FND1024,2025-09-01T19:24:15,2025-09-03,MSCO,INTRODUCING
T20250901-000140,AAPL,SELL,1500,388.94,583410.0,FND1023,2025-09-01T20:46:55,2025-09-03,NITE,SELF_CLEAR
T20250901-000141,JPM,SELL,200,414.97,82994.0,FND1043,2025-09-01T20:57:59,2025-09-03,UBSW,SELF_CLEAR
T20250901-000142,AMZN,BUY,1000,469.1,469100.0,FND1021,2025-09-01T20:03:08,2025-09-03,UBSW,INTRODUCING
T20250901-000143,META,SELL,500,366.89,183445.0,FND1052,2025-09-01T18:00:15,2025-09-03,JPMC,INTRODUCING
T20250901-000144,AAPL,BUY,500,138.47,69235.0,FND1021,2025-09-01T18:32:42,2025-09-03,MSCO,INTRODUCING
T20250901-000145,UNH,BUY,300,139.5,41850.0,FND1009,2025-09-01T17:19:39,2025-09-03,GSCO,INTRODUCING
T20250901-000146,JPM,BUY,100,308.69,30869.0,FND1034,2025-09-01T17:19:22,2025-09-03,BAML,SELF_CLEAR
T20250901-000147,NVDA,BUY,1500,107.08,160620.0,FND1051,2025-09-01T18:29:10,2025-09-03,NITE,SELF_CLEAR
T20250901-000148,UNH,BUY,2000,367.49,734980.0,FND1006,2025-09-01T18:41:48,2025-09-03,NITE,SELF_CLEAR
T20250901-000149,NVDA,SELL,300,252.32,75696.0,FND1038,2025-09-01T18:46:21,2025-09-03,MSCO,INTRODUCING
T20250901-000150,BAC,BUY,1000,260.93,260930.0,FND1035,2025-09-01T17:48:04,2025-09-03,GSCO,SELF_CLEAR
T20250901-000151,META,SELL,2000,317.62,635240.0,FND1000,2025-09-01T19:56:12,2025-09-03,UBSW,SELF_CLEAR
T20250901-000152,NVDA,BUY,200,50.57,10114.0,FND1010,2025-09-01T19:03:49,2025-09-03,CDEL,SELF_CLEAR
T20250901-000153,AMZN,SELL,2000,300.08,600160.0,FND1006,2025-09-01T19:25:26,2025-09-03,NITE,INTRODUCING
T20250901-000154,GOOGL,SELL,100,156.43,15643.0,FND1042,2025-09-01T20:47:43,2025-09-03,BAML,INTRODUCING
T20250901-000155,TSLA,BUY,1000,147.19,147190.0,FND1046,2025-09-01T18:08:21,2025-09-03,CDEL,SELF_CLEAR
T20250901-000156,GOOGL,SELL,200,89.67,17934.0,FND1013,2025-09-01T17:15:43,2025-09-03,NITE,INTRODUCING
T20250901-000157,TSLA,BUY,1500,241.64,362460.0,FND1008,2025-09-01T20:54:04,2025-09-03,CDEL,INTRODUCING
T20250901-000158,GOOGL,BUY,2000,359.03,718060.0,FND1057,2025-09-01T18:39:06,2025-09-03,UBSW,SELF_CLEAR
T20250901-000159,AMZN,BUY,1500,40.69,61035.0,FND1003,2025-09-01T20:26:41,2025-09-03,NITE,SELF_CLEAR
T20250901-000160,AMZN,SELL,200,363.34,72668.0,FND1010,2025-09-01T17:50:36,2025-09-03,CDEL,INTRODUCING
T20250901-000161,AMZN,BUY,1500,238.24,357360.0,FND1007,2025-09-01T19:39:04,2025-09-03,BAML,SELF_CLEAR
T20250901-000162,AAPL,SELL,1500,276.4,414600.0,FND1018,2025-09-01T20:58:30,2025-09-03,UBSW,SELF_CLEAR
T20250901-000163,BAC,SELL,2000,246.87,493740.0,FND1007,2025-09-01T18:14:28,2025-09-03,UBSW,SELF_CLEAR
T20250901-000164,TSLA,BUY,100,471.84,47184.0,FND1009,2025-09-01T18:21:09,2025-09-03,MSCO,SELF_CLEAR
T20250901-000165,BAC,BUY,300,198.29,59487.0,FND1041,2025-09-01T19:13:14,2025-09-03,BAML,SELF_CLEAR
T20250901-000166,MSFT,BUY,500,33.13,16565.0,FND1046,2025-09-01T19:54:23,2025-09-03,NITE,INTRODUCING
T20250901-000167,UNH,BUY,1500,210.22,315330.0,FND1057,2025-09-01T20:19:14,2025-09-03,NITE,INTRODUCING
T20250901-000168,GOOGL,BUY,300,97.98,29394.0,FND1012,2025-09-01T20:50:35,2025-09-03,JPMC,INTRODUCING
T20250901-000169,NVDA,SELL,200,462.62,92524.0,FND1015,2025-09-01T19:48:32,2025-09-03,NITE,SELF_CLEAR
T20250901-000170,NVDA,SELL,300,153.26,45978.0,FND1045,2025-09-01T17:15:29,2025-09-03,NITE,INTRODUCING
T20250901-000171,NVDA,BUY,200,323.76,64752.0,FND1023,2025-09-01T20:37:21,2025-09-03,NITE,INTRODUCING
T20250901-000172,UNH,BUY,1000,167.9,167900.0,FND1057,2025-09-01T18:57:46,2025-09-03,CDEL,SELF_CLEAR
T20250901-000173,UNH,BUY,100,340.72,34072.0,FND1036,2025-09-01T18:19:33,2025-09-03,BAML,SELF_CLEAR
T20250901-000174,MSFT,SELL,200,125.65,25130.0,FND1004,2025-09-01T20:33:49,2025-09-03,GSCO,SELF_CLEAR
T20250901-000175,BAC,BUY,500,101.63,50815.0,FND1041,2025-09-01T18:12:04,2025-09-03,NITE,SELF_CLEAR
T20250901-000176,BAC,SELL,500,277.39,138695.0,FND1004,2025-09-01T18:11:45,2025-09-03,NITE,INTRODUCING
T20250901-000177,MSFT,SELL,1500,201.84,302760.0,FND1003,2025-09-01T18:40:27,2025-09-03,UBSW,SELF_CLEAR
T20250901-000178,UNH,BUY,200,80.58,16116.0,FND1002,2025-09-01T17:19:32,2025-09-03,UBSW,SELF_CLEAR
T20250901-000179,AAPL,BUY,200,474.88,94976.0,FND1018,2025-09-01T20:43:46,2025-09-03,BAML,SELF_CLEAR
T20250901-000180,BRK.B,BUY,2000,143.27,286540.0,FND1025,2025-09-01T19:42:26,2025-09-03,JPMC,SELF_CLEAR
T20250901-000181,TSLA,BUY,1000,264.86,264860.0,FND1046,2025-09-01T18:42:40,2025-09-03,CDEL,INTRODUCING
T20250901-000182,UNH,SELL,1000,440.77,440770.0,FND1011,2025-09-01T19:21:05,2025-09-03,UBSW,SELF_CLEAR
T20250901-000183,UNH,BUY,1500,28.9,43350.0,FND1034,2025-09-01T18:28:10,2025-09-03,MSCO,SELF_CLEAR
T20250901-000184,TSLA,SELL,1500,80.67,121005.0,FND1050,2025-09-01T20:05:54,2025-09-03,UBSW,SELF_CLEAR
T20250901-000185,GOOGL,BUY,1000,13.96,13960.0,FND1006,2025-09-01T18:08:27,2025-09-03,NITE,SELF_CLEAR
T20250901-000186,GOOGL,SELL,200,111.16,22232.0,FND1055,2025-09-01T17:28:55,2025-09-03,UBSW,SELF_CLEAR
T20250901-000187,GOOGL,SELL,1500,51.78,77670.0,FND1041,2025-09-01T18:37:11,2025-09-03,CDEL,SELF_CLEAR
T20250901-000188,AAPL,BUY,1500,361.18,541770.0,FND1044,2025-09-01T17:01:51,2025-09-03,GSCO,INTRODUCING
T20250901-000189,BRK.B,SELL,200,375.42,75084.0,FND1042,2025-09-01T18:44:29,2025-09-03,UBSW,INTRODUCING
T20250901-000190,UNH,SELL,500,150.13,75065.0,FND1059,2025-09-01T17:28:50,2025-09-03,NITE,INTRODUCING
T20250901-000191,BAC,SELL,1000,293.87,293870.0,FND1030,2025-09-01T18:47:50,2025-09-03,JPMC,SELF_CLEAR
T20250901-000192,BAC,SELL,200,438.2,87640.0,FND1059,2025-09-01T18:54:05,2025-09-03,JPMC,SELF_CLEAR
T20250901-000193,GOOGL,SELL,1500,426.64,639960.0,FND1047,2025-09-01T19:28:48,2025-09-03,CDEL,INTRODUCING
T20250901-000194,AMZN,SELL,2000,318.81,637620.0,FND1002,2025-09-01T20:10:45,2025-09-03,UBSW,SELF_CLEAR
T20250901-000195,MSFT,BUY,1000,306.71,306710.0,FND1041,2025-09-01T18:29:20,2025-09-03,CDEL,SELF_CLEAR
T20250901-000196,NVDA,SELL,500,133.33,66665.0,FND1043,2025-09-01T19:26:36,2025-09-03,MSCO,SELF_CLEAR
T20250901-000197,TSLA,SELL,200,244.36,48872.0,FND1036,2025-09-01T20:09:55,2025-09-03,UBSW,SELF_CLEAR
T20250901-000198,JPM,BUY,500,294.0,147000.0,FND1059,2025-09-01T19:07:31,2025-09-03,JPMC,INTRODUCING
T20250901-000199,BAC,SELL,2000,420.8,841600.0,FND1007,2025-09-01T18:27:14,2025-09-03,CDEL,INTRODUCING
T20250901-000200,META,BUY,1500,473.51,710265.0,FND1050,2025-09-01T17:36:31,2025-09-03,CDEL,SELF_CLEAR
T20250901-000201,MSFT,BUY,1000,350.49,350490.0,FND1035,2025-09-01T18:47:08,2025-09-03,JPMC,INTRODUCING
T20250901-000202,MSFT,SELL,300,396.5,118950.0,FND1051,2025-09-01T20:51:28,2025-09-03,BAML,INTRODUCING
T20250901-000203,UNH,SELL,1500,114.81,172215.0,FND1022,2025-09-01T19:44:14,2025-09-03,JPMC,INTRODUCING
T20250901-000204,XOM,BUY,300,294.09,88227.0,FND1051,2025-09-01T19:46:11,2025-09-03,NITE,SELF_CLEAR
T20250901-000205,MSFT,BUY,200,170.59,34118.0,FND1034,2025-09-01T17:53:46,2025-09-03,BAML,SELF_CLEAR
T20250901-000206,UNH,BUY,200,407.72,81544.0,FND1053,2025-09-01T19:30:07,2025-09-03,GSCO,INTRODUCING
T20250901-000207,AMZN,BUY,500,203.76,101880.0,FND1026,2025-09-01T20:24:09,2025-09-03,UBSW,SELF_CLEAR
